,title,url,experience,salary,location,skills,search_type
0,Blockchain Developer - Cryptography,https://www.naukri.com/job-listings-blockchain-developer-cryptography-ith-technologies-pvt-ltd-kanpur-2-to-7-years-240622501897,2-7 Yrs,Not disclosed,['Kanpur'],"['cryptography', 'c++', 'blockchain', 'xslt', 'python', 'data', 'mysql', 'xml']",Cryptography
1,Blockchain Developer - Rust / Cryptography,https://www.naukri.com/job-listings-blockchain-developer-rust-cryptography-the-nikharv-consultancy-kolkata-5-to-8-years-080623910551,5-8 Yrs,Not disclosed,['Kolkata'],"['Blockchain Development', 'Block Chain Development', 'Development', 'HTTP', 'P2P', 'C++', 'Cryptography', 'Blockchain']",Cryptography
2,"Principal Engineer Security (Embedded Systems/Automotive)
",https://www.naukri.com/job-listings-principal-engineer-security-embedded-systems-automotive-ola-electric-bangalore-bengaluru-0-to-5-years-100423005092,0-5 Yrs,Not disclosed,['Bangalore/Bengaluru(Koramangala)'],"['Cyber Security', 'C++', 'C', 'Cyber', 'Can Bus', 'Embedded systems', 'Boot', 'Security']",Cryptography
3,Cyber Security Analyst,,10-20 Yrs,30-45 Lacs PA,['Bangalore/Bengaluru'],"['Cyber Security', 'Cryptography', 'Automotive', 'Cyber', 'Vehicle', 'Security', 'Architecture', 'ISO']",Cryptography
4,Information Security Engineer,,5-10 Yrs,Not disclosed,['Pune'],"['Cyber Security', 'Embedded systems', 'Devices', 'Security', 'Architecture', 'Hsm', 'Embedded C', 'Practice Management']",Cryptography
5,Security Engineer,,3-6 Yrs,Not disclosed,"['Kolkata', 'Hyderabad/Secunderabad', 'Pune', 'Ahmedabad', 'Chennai', 'Bangalore/Bengaluru', 'Delhi / NCR', 'Mumbai (All Areas)']","['Public Key Cryptography', 'Cryptography', 'SSL', 'PKI', 'Infrastructure Security', 'Key', 'Management', 'Authentication']",Cryptography
6,Software Engineer,,0-0 Yrs,Not disclosed,"['Singapore', 'Hyderabad/Secunderabad', 'Bangalore/Bengaluru']","['Cloud Security', 'Cyber Security', 'Hiring', 'Security', 'Data', 'Data Security', 'Data Privacy', 'Cyber']",Cryptography
7,Sr. Software Engineer,,5-10 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Java', 'C++', 'C', 'Perl', 'Javascript', 'SOAP', 'Encryption', 'Senior']",Cryptography
8,Cyber Security Architect Automotive,https://www.naukri.com/job-listings-cyber-security-architect-automotive-krazy-mantra-bangalore-bengaluru-10-to-20-years-220623008129,0-5 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['Penetration', 'Assessment', 'Cloud', 'Vulnerability assessment', 'OWASP', 'Risk analysis', 'Root cause', 'Burp Suite']",Cryptography
9,Cyber Security Experts (Practice Manager/ Architect),https://www.naukri.com/job-listings-cyber-security-experts-practice-manager-architect-samsan-technologies-pune-5-to-10-years-200623500489,0-5 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['Code review', 'Classification', 'Root cause analysis', 'Burp Suite', 'Application security', 'Networking', 'Cyber', 'Risk']",Cryptography
10,PKI Engineer _PAN India (3-6 years),https://www.naukri.com/job-listings-pki-engineer-pan-india-3-6-years-tata-consultancy-services-tcs-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-3-to-6-years-290523002513,5-9 Yrs,13-23 Lacs PA,['Pune'],"['Embedded Software', 'Embedded C', 'Hsm', 'Cyber Security', 'Cryptography', 'Cyber', 'Embedded development', 'C']",Cryptography
11,Hiring Freshers on Cyber Security Analyst / Cyber Security Engineer,https://www.naukri.com/job-listings-hiring-freshers-on-cyber-security-analyst-cyber-security-engineer-aficionado-technologies-hyderabad-secunderabad-bangalore-bengaluru-singapore-0-to-0-years-230623005441,0-5 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['Cyber Security', 'Key', 'Security Operations Center', 'Nist', 'Security operations', 'Intelligence', 'Auditing', 'Security audit']",Cryptography
